ID,Query,Response,Category,Context
55,What kind of study abroad programs do you offer?,"We offer a wide range of study abroad programs, from semester-long exchanges to summer programs, in countries like Spain, Japan, and the UK.",Study Abroad,Details on study abroad opportunities
56,How diverse is the student body?,"Our student body is incredibly diverse, with students from over 70 countries and various backgrounds, making for a vibrant and inclusive campus culture.",Campus Life,Information on student diversity
57,What is the application process for transfer students?,"Transfer students need to submit their transcripts, a completed application form, and details of their previous coursework for credit evaluation.",Transfer Students,Information on the transfer student application process
58,How do I apply for on-campus housing?,You can apply for on-campus housing through the housing portal on our website. It’s best to apply early as spots fill up quickly.,Campus Life,On-campus housing application process
59,Is there financial aid for international students?,"Yes, we offer financial aid packages and scholarships specifically for international students. Check out our international admissions page for details.",International Students,Financial aid options for international students
60,What kind of meal plans are available?,"We offer several meal plan options, including vegetarian and vegan options. You can choose a plan based on the number of meals you'd like per week.",Campus Life,Information on meal plans available
61,How do I register for classes?,You can register for classes through our online student portal once you've been admitted and completed your orientation.,Academic Policies,Class registration process
62,How can I meet with an academic advisor?,You can schedule an appointment with an academic advisor through our student portal or by visiting the advising office on campus.,Academic Policies,Information on scheduling academic advising appointments
63,What are the requirements for the MBA program?,"The MBA program requires a bachelor's degree, a minimum GPA of 3.0, GMAT or GRE scores, and at least two years of professional work experience.",Admission Requirements,MBA program admission requirements
64,What kind of technology resources are available for students?,"We offer various tech resources, including high-speed internet, computer labs, and access to software for programming, design, and statistical analysis.",Campus Life,Technology resources available for students
65,Is there a health center on campus?,"Yes, we have a fully equipped health center that offers medical services, counseling, and wellness programs to support students' health needs.",Campus Life,Information on campus health center
66,Do you offer any pre-med or pre-law programs?,"Yes, we offer pre-med and pre-law tracks that prepare students for medical or law school with specialized advising and courses.",Program Information,Details on pre-professional programs
67,How can I apply for scholarships?,You can apply for scholarships through the financial aid office. Be sure to check out the deadlines and eligibility requirements for each scholarship.,Fees and Scholarships,Scholarship application process
68,What kind of sports teams do you have?,"We offer a variety of sports, including basketball, soccer, tennis, and swimming. Our teams compete in both intercollegiate and intramural leagues.",Campus Life,Information on campus sports teams
69,Are there any events for prospective students?,"Yes, we host open houses and webinars for prospective students, providing a great opportunity to learn more about the programs and meet current students and faculty.",Admission Process,Information on events for prospective students
70,What’s the cost of attendance?,"The cost of attendance depends on the program, but you can find detailed information about tuition and fees on our website. Scholarships and financial aid are also available.",Fees and Scholarships,Information on cost of attendance
